Total Household Income,Region,Total Food Expenditure,Main Source of Income,Agricultural Household indicator,Bread and Cereals Expenditure,Total Rice Expenditure,Meat Expenditure,Total Fish and  marine products Expenditure,Fruit Expenditure,Vegetables Expenditure,Restaurant and hotels Expenditure,Alcoholic Beverages Expenditure,Tobacco Expenditure,"Clothing, Footwear and Other Wear Expenditure",Housing and water Expenditure,Imputed House Rental Value,Medical Care Expenditure,Transportation Expenditure,Communication Expenditure,Education Expenditure,Miscellaneous Goods and Services Expenditure,Special Occasions Expenditure,Crop Farming and Gardening expenses,Total Income from Entrepreneurial Acitivites,Household Head Sex,Household Head Age,Household Head Marital Status,Household Head Highest Grade Completed,Household Head Job or Business Indicator,Household Head Occupation,Household Head Class of Worker,Type of Household,Total Number of Family members,Members with age less than 5 year old,Members with age 5 - 17 years old,Total number of family members employed,Type of Building/House,Type of Roof,Type of Walls,House Floor Area,House Age,Number of bedrooms,Tenure Status,Toilet Facilities,Electricity,Main Source of Water Supply,Number of Television,Number of CD/VCD/DVD,Number of Component/Stereo set,Number of Refrigerator/Freezer,Number of Washing Machine,Number of Airconditioner,"Number of Car, Jeep, Van",Number of Landline/wireless telephones,Number of Cellular phone,Number of Personal Computer,Number of Stove with Oven/Gas Range,Number of Motorized Banca,Number of Motorcycle/Tricycle,Region_clean
145870,IVB - MIMAROPA,35030,Wage/Salaries,1,15125,12272,1925,5950,1860,1275,2262,4960,0,1630,13872,9000,167,900,408,100,2940,600,0,0,Male,69,Married,Grade 5,With Job/Business,Farmhands and laborers,Worked for private establishment,Extended Family,6,1,1,2,Single house,"Light material (cogon,nipa,anahaw)",Light,40,27,1,"Own house, rent-free lot with consent of owner",,1,"Own use, faucet, community water system",1,0,0,0,0,0,0,0,2,0,0,1,0,IVB - MIMAROPA
141236,IVB - MIMAROPA,109825,Enterpreneurial Activities,0,26946,21780,26138,13064,1930,4379,12855,2340,0,4850,30186,18000,1025,1500,4212,1785,7824,4648,0,54680,Male,48,Married,Elementary Graduate,With Job/Business,Freight handlers,Worked for private establishment,Single Family,4,0,2,1,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,33,1,2,"Own house, rent-free lot with consent of owner","Water-sealed, sewer septic tank, used exclusively by household",1,"Shared, tubed/piped deep well",1,1,1,0,0,0,0,0,3,0,0,0,0,IVB - MIMAROPA
312113,IVB - MIMAROPA,80606,Wage/Salaries,0,25850,15360,9112,11184,5530,2492,7582,3660,0,5130,42678,30000,16496,3468,2886,1250,33054,6100,0,900,Male,34,Married,First Year High School,With Job/Business,Fishery laborers and helpers,Self-employed wihout any employee,Single Family,3,0,1,1,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,69,5,3,Own or owner-like possession of house and lot,"Water-sealed, sewer septic tank, used exclusively by household",1,"Own use, faucet, community water system",1,0,0,0,0,0,0,0,2,1,0,0,1,IVB - MIMAROPA
121264,IVB - MIMAROPA,74700,Wage/Salaries,0,20271,12688,17296,12146,2150,5704,3220,6892,5068,1762,17388,10800,623,5976,744,1820,6462,3300,0,0,Male,30,Married,Second Year High School,With Job/Business,"Car, taxi and van drivers",Worked for private establishment,Single Family,4,0,2,1,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,20,7,2,"Own house, rent-free lot with consent of owner","Water-sealed, sewer septic tank, used exclusively by household",1,"Shared, tubed/piped deep well",1,1,0,1,0,0,0,0,2,0,0,0,1,IVB - MIMAROPA
399427,IVB - MIMAROPA,210902,Other sources of Income,0,52093,34028,49550,4795,4170,3325,42380,3301,0,10952,23286,12000,1466,14940,7410,2555,36426,23702,0,546,Male,60,Married,High School Graduate,With Job/Business,Protective services workers n. e. c.,Worked for private establishment,Extended Family,7,0,4,2,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,60,9,2,"Own house, rent-free lot with consent of owner","Water-sealed, sewer septic tank, used exclusively by household",1,"Own use, faucet, community water system",1,2,4,0,0,0,0,0,5,2,0,0,1,IVB - MIMAROPA
54666,IVB - MIMAROPA,34198,Other sources of Income,0,14396,12245,3572,5558,555,2235,3212,165,2330,2355,6462,2400,119,1398,132,1580,3300,7620,0,390,Male,35,Married,Elementary Graduate,With Job/Business,Farmhands and laborers,Worked for private establishment,Single Family,5,1,2,1,Single house,"Light material (cogon,nipa,anahaw)",Light,8,6,1,"Own house, rent-free lot with consent of owner","Water-sealed, sewer septic tank, used exclusively by household",0,"Shared, faucet, community water system",0,0,0,0,0,0,0,0,1,0,0,0,0,IVB - MIMAROPA
44388,IVB - MIMAROPA,31057,Wage/Salaries,0,9732,6680,3134,3899,1508,5695,1130,0,0,750,7242,4200,5635,1044,0,0,1470,120,0,564,Female,73,Single,High School Graduate,With Job/Business,Traditional chiefs and heads of villages,Worked for government/government corporation,Single Family,1,0,0,1,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,9,1,1,"Own house, rent-free lot with consent of owner",,1,"Shared, faucet, community water system",0,0,0,0,0,0,0,0,0,0,0,0,0,IVB - MIMAROPA
494212,IVB - MIMAROPA,91228,Other sources of Income,0,24935,20158,12143,16554,3545,6803,900,1035,6878,4580,40848,18000,20913,23766,5226,0,19986,6316,0,38761,Female,85,Widowed,Second Year College,No Job/Business,,,Single Family,4,0,0,1,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,20,43,3,Rent-free house and lot with consent of owner,"Water-sealed, sewer septic tank, used exclusively by household",1,"Own use, faucet, community water system",3,1,1,2,0,0,0,0,4,0,1,0,1,IVB - MIMAROPA
860862,IVB - MIMAROPA,147143,Other sources of Income,0,26502,18590,54926,9876,3460,5613,21760,165,2172,10124,85728,60000,24651,25062,35934,123426,57690,27000,0,0,Female,44,Married,Teacher Training and Education Sciences Programs,With Job/Business,Statisticians,Worked for government/government corporation,Single Family,4,0,3,2,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,68,15,3,Own or owner-like possession of house and lot,"Water-sealed, sewer septic tank, used exclusively by household",1,"Own use, faucet, community water system",1,1,0,1,1,0,0,0,4,3,1,0,1,IVB - MIMAROPA
217658,IVB - MIMAROPA,135894,Other sources of Income,0,31069,23733,4835,73928,4200,9256,2100,1456,0,10150,25494,18000,30408,8472,900,0,4434,11900,0,0,Male,69,Married,High School Graduate,No Job/Business,,,Single Family,2,0,0,0,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,120,9,2,Own or owner-like possession of house and lot,"Water-sealed, sewer septic tank, used exclusively by household",1,"Own use, faucet, community water system",2,1,0,1,1,0,0,1,0,0,1,0,0,IVB - MIMAROPA
119065,IVB - MIMAROPA,47797,Other sources of Income,0,16514,10010,10750,7850,2450,3648,150,8130,5236,1600,47178,7200,250,4038,0,0,2802,760,9520,17570,Male,66,Married,High School Graduate,With Job/Business,Other livestock farmers,Self-employed wihout any employee,Extended Family,2,0,0,0,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,56,29,1,Own or owner-like possession of house and lot,"Water-sealed, sewer septic tank, used exclusively by household",1,"Shared, faucet, community water system",0,0,0,0,0,0,0,0,0,0,0,0,0,IVB - MIMAROPA
283136,IVB - MIMAROPA,88943,Wage/Salaries,0,33597,23462,17777,12199,2645,4368,9702,3950,0,5605,19260,12000,3934,15594,1848,14000,13584,3200,0,9680,Male,49,Married,Elementary Graduate,With Job/Business,"Helpers and cleaners in offices, hotels and other establishments",Worked for government/government corporation,Extended Family,6,0,1,2,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Light,64,9,2,"Own house, rent-free lot with consent of owner","Water-sealed, sewer septic tank, used exclusively by household",1,"Shared, faucet, community water system",1,2,0,1,0,0,0,0,4,2,0,0,0,IVB - MIMAROPA
44509,IVB - MIMAROPA,14036,Wage/Salaries,0,5645,3792,0,2515,930,1728,520,0,0,200,8484,6000,4757,642,996,0,1086,0,0,2070,Female,66,Single,High School Graduate,With Job/Business,Traditional chiefs and heads of villages,Worked for government/government corporation,Single Family,1,0,0,1,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,10,25,1,Rent-free house and lot with consent of owner,"Water-sealed, sewer septic tank, used exclusively by household",1,"Own use, faucet, community water system",0,0,0,0,0,0,0,0,1,0,0,0,0,IVB - MIMAROPA
113007,IVB - MIMAROPA,74757,Wage/Salaries,0,8950,6181,21880,6883,2520,1991,22750,2590,0,4000,29676,9000,299,3996,1716,2200,4182,2850,0,0,Male,59,Married,Grade 4,With Job/Business,Traditional chiefs and heads of villages,Worked for government/government corporation,Single Family,3,0,0,3,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,14,21,3,Own or owner-like possession of house and lot,"Water-sealed, sewer septic tank, used exclusively by household",1,"Own use, faucet, community water system",1,1,0,1,0,0,0,0,3,0,0,0,0,IVB - MIMAROPA
52333,IVB - MIMAROPA,32401,Other sources of Income,1,12716,10475,1488,5043,2225,2615,3380,0,4660,3060,8352,4200,1623,402,0,0,4032,300,10895,16329,Male,63,Married,Grade 4,With Job/Business,Rice farmers,Self-employed wihout any employee,Single Family,2,0,0,1,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Quite Strong,20,17,1,"Own house, rent-free lot with consent of owner","Water-sealed, sewer septic tank, used exclusively by household",0,"Lake, river, rain and others",0,0,0,0,0,0,0,0,0,0,0,0,0,IVB - MIMAROPA
82045,IVB - MIMAROPA,45973,Enterpreneurial Activities,1,19396,14254,5012,7664,2620,2933,0,1270,0,2940,11604,4800,1514,4014,2418,0,5310,300,25238,32488,Male,56,Married,Grade 4,With Job/Business,Coconut farmers,Self-employed wihout any employee,Extended Family,5,1,0,3,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,15,6,1,Own or owner-like possession of house and lot,"Water-sealed, sewer septic tank, shared with other household",1,"Shared, faucet, community water system",0,1,0,0,0,0,0,0,3,0,0,0,0,IVB - MIMAROPA
46968,IVB - MIMAROPA,23048,Other sources of Income,0,6446,4984,1170,4602,1098,4296,0,0,0,1120,17472,7800,1850,1782,204,0,5958,2200,0,3064,Female,65,Married,Grade 4,With Job/Business,Hog raising farmers,Self-employed wihout any employee,Single Family,2,0,0,0,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Quite Strong,9,22,0,Own or owner-like possession of house and lot,"Water-sealed, sewer septic tank, used exclusively by household",1,"Shared, faucet, community water system",0,1,0,0,0,0,0,0,1,0,0,0,0,IVB - MIMAROPA
324792,IVB - MIMAROPA,159912,Other sources of Income,0,36864,25121,15470,20815,3660,7601,54798,3624,5648,12670,26754,9000,5515,38166,3606,24268,12096,11800,3666,21960,Male,44,Married,Third Year High School,With Job/Business,Building construction laborers,Worked for private establishment,Extended Family,7,2,1,2,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,30,23,2,Own or owner-like possession of house and lot,"Water-sealed, sewer septic tank, used exclusively by household",1,"Own use, faucet, community water system",1,1,0,0,1,0,0,0,10,1,0,0,0,IVB - MIMAROPA
127303,IVB - MIMAROPA,70553,Other sources of Income,0,26568,21932,9680,10378,1235,11048,0,6500,9430,1650,12360,6000,370,1158,2856,0,4908,1000,15150,50105,Male,60,Married,Elementary Graduate,With Job/Business,Farmhands and laborers,Worked for private establishment,Extended Family,4,0,0,3,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Quite Strong,100,4,2,"Own house, rent-free lot with consent of owner","Water-sealed, sewer septic tank, used exclusively by household",1,"Shared, tubed/piped deep well",1,1,0,0,0,0,0,0,2,0,0,0,0,IVB - MIMAROPA
139040,IVB - MIMAROPA,76243,Enterpreneurial Activities,1,45412,42570,3330,7736,2980,3850,6332,11870,11015,1280,15498,6000,325,8994,630,2840,3054,1000,73284,75284,Male,48,Married,Elementary Graduate,With Job/Business,Rice farmers,Self-employed wihout any employee,Single Family,6,0,2,3,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Light,13,9,2,"Own house, rent-free lot with consent of owner","Water-sealed, sewer septic tank, used exclusively by household",1,"Protected spring, river, stream, etc",0,0,0,0,0,0,0,0,2,0,0,0,0,IVB - MIMAROPA
60270,IVB - MIMAROPA,38586,Wage/Salaries,0,9126,6562,2206,6182,990,1380,14642,0,0,200,7710,5400,64,150,402,885,2562,500,150,150,Male,53,Married,Elementary Graduate,With Job/Business,Shop salespersons and demonstrators,Worked for private establishment,Single Family,3,0,1,1,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,19,20,3,Rent-free house and lot with consent of owner,"Water-sealed, sewer septic tank, used exclusively by household",1,"Own use, faucet, community water system",0,0,0,0,0,0,0,0,1,0,0,0,0,IVB - MIMAROPA
332580,IVB - MIMAROPA,99035,Other sources of Income,0,35256,22806,16418,20320,800,6742,6480,0,0,4128,25836,5400,20113,32136,3180,15460,7284,2000,0,0,Male,72,Widowed,High School Graduate,With Job/Business,Building and related electricians,Worked for private establishment,Extended Family,5,1,2,1,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,100,46,3,Own or owner-like possession of house and lot,"Water-sealed, sewer septic tank, used exclusively by household",1,"Own use, faucet, community water system",1,1,0,1,1,0,1,0,3,0,1,0,0,IVB - MIMAROPA
82417,IVB - MIMAROPA,26137,Other sources of Income,0,9273,6606,2255,4649,547,1065,50,0,0,430,9234,6000,14168,2844,1302,0,3294,2900,284,284,Female,61,Widowed,Second Year College,With Job/Business,Rice farmers,Employer in own family-operated farm or business,Single Family,1,0,0,1,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,20,30,3,Own or owner-like possession of house and lot,"Water-sealed, sewer septic tank, used exclusively by household",1,"Own use, faucet, community water system",1,1,0,1,1,0,0,0,1,0,0,0,0,IVB - MIMAROPA
132669,IVB - MIMAROPA,78001,Enterpreneurial Activities,0,21505,16879,13873,12176,5029,5050,45,3260,0,6250,22068,8400,7245,5502,882,180,4104,3400,9660,77635,Male,61,Married,Second Year High School,With Job/Business,Hog raising farmers,Self-employed wihout any employee,Extended Family,4,0,1,0,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,11,8,2,"Own house, rent-free lot without consent of owner","Water-sealed, sewer septic tank, used exclusively by household",1,"Own use, faucet, community water system",1,1,0,1,0,0,0,0,3,0,1,0,0,IVB - MIMAROPA
89241,IVB - MIMAROPA,45441,Other sources of Income,0,16924,15447,2087,6340,1640,3955,6605,0,0,1050,16032,9000,28,15582,2394,1912,3912,0,1660,1660,Female,45,Married,High School Graduate,No Job/Business,,,Extended Family,5,0,3,0,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,12,25,2,Rent-free house and lot with consent of owner,"Water-sealed, sewer septic tank, used exclusively by household",1,"Own use, faucet, community water system",1,2,1,1,1,1,0,0,4,0,1,0,0,IVB - MIMAROPA
173295,IVB - MIMAROPA,46087,Other sources of Income,0,15296,13621,7214,5531,1166,5585,1800,0,0,750,18738,6600,12136,4056,2508,0,4872,65000,5288,13896,Female,63,Widowed,Elementary Graduate,No Job/Business,,,Single Family,2,0,0,0,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,14,30,3,"Own house, rent-free lot with consent of owner","Water-sealed, sewer septic tank, used exclusively by household",1,"Own use, faucet, community water system",1,1,0,1,0,0,0,0,2,0,1,0,0,IVB - MIMAROPA
64386,IVB - MIMAROPA,28526,Other sources of Income,0,10314,9050,3620,6290,2240,1030,300,0,1608,1100,8526,4200,534,1020,570,300,1770,500,682,682,Female,75,Widowed,Grade 3,No Job/Business,,,Extended Family,2,0,1,1,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,80,20,2,Own or owner-like possession of house and lot,"Water-sealed, sewer septic tank, used exclusively by household",1,"Shared, faucet, community water system",0,0,0,0,0,0,0,0,1,0,0,0,0,IVB - MIMAROPA
85420,IVB - MIMAROPA,59124,Other sources of Income,1,22455,15544,7022,7917,1459,3425,3900,0,6085,875,10716,3000,136,1290,540,2240,2790,17400,5865,13739,Male,30,Married,Elementary Graduate,With Job/Business,Farmhands and laborers,Worked for private establishment,Single Family,5,1,2,1,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Light,12,8,2,"Own house, rent-free lot without consent of owner","Water-sealed, sewer septic tank, used exclusively by household",1,"Own use, faucet, community water system",0,1,0,0,0,0,0,0,1,0,0,0,0,IVB - MIMAROPA
128183,IVB - MIMAROPA,76352,Other sources of Income,0,29639,20363,5790,6578,4379,6545,6090,3600,0,5280,20520,6000,5617,11220,1500,2140,7548,7800,18930,20455,Male,55,Married,Elementary Graduate,With Job/Business,Farmhands and laborers,Worked for private establishment,Single Family,4,1,1,1,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,32,14,2,Own or owner-like possession of house and lot,"Water-sealed, sewer septic tank, used exclusively by household",1,"Own use, faucet, community water system",1,1,0,1,0,0,0,0,2,0,1,0,1,IVB - MIMAROPA
210241,IVB - MIMAROPA,77092,Other sources of Income,0,19422,13576,14042,6945,6039,7035,2025,3620,0,3800,18240,6000,3655,10248,5970,2148,7068,4000,45501,83091,Male,65,Married,Grade 3,With Job/Business,Coconut farmers,Self-employed wihout any employee,Extended Family,5,0,1,2,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,5,27,2,"Own house, rent-free lot with consent of owner","Water-sealed, sewer septic tank, used exclusively by household",1,"Own use, faucet, community water system",1,1,0,1,0,0,0,0,3,0,0,0,0,IVB - MIMAROPA
77704,IVB - MIMAROPA,54026,Other sources of Income,1,24260,22158,2279,5947,1560,2595,6495,650,0,1525,18822,4800,360,4272,1482,2650,3288,1400,2670,5616,Male,49,Married,Elementary Graduate,With Job/Business,Farmhands and laborers,Worked for private establishment,Single Family,7,1,4,2,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,15,11,1,"Own house, rent-free lot without consent of owner","Water-sealed, sewer septic tank, used exclusively by household",1,"Own use, faucet, community water system",1,1,0,0,0,0,0,0,2,0,0,0,0,IVB - MIMAROPA
125146,IVB - MIMAROPA,93383,Other sources of Income,1,35273,29835,7980,8627,2462,5113,13410,270,0,730,18402,3600,420,6810,756,6735,9318,2000,32724,39716,Male,40,Married,Grade 2,With Job/Business,Rice farmers,Self-employed wihout any employee,Single Family,8,1,5,1,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Light,11,10,2,"Own house, rent-free lot without consent of owner","Water-sealed, sewer septic tank, used exclusively by household",1,"Own use, faucet, community water system",1,1,0,0,0,0,0,0,2,0,0,0,0,IVB - MIMAROPA
195280,IVB - MIMAROPA,73696,Enterpreneurial Activities,0,15698,10920,20640,11417,2343,2490,13782,8320,0,1500,18720,12000,45,11352,1350,11520,5940,2236,0,142570,Male,51,Married,Elementary Graduate,With Job/Business,General managers/managing proprietors in manufacturing,Employer in own family-operated farm or business,Single Family,2,0,1,0,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,15,46,2,Own or owner-like possession of house and lot,"Water-sealed, sewer septic tank, used exclusively by household",1,"Shared, tubed/piped deep well",1,0,0,0,0,0,0,0,2,0,0,0,1,IVB - MIMAROPA
39901,IVB - MIMAROPA,29276,Other sources of Income,0,7489,2262,5470,3340,115,2800,260,0,0,105,14220,6000,50,1584,0,0,1602,500,0,280,Female,81,Widowed,Elementary Graduate,With Job/Business,Hog raising farmers,Self-employed wihout any employee,Single Family,1,0,0,0,Single house,"Light material (cogon,nipa,anahaw)",Light,46,43,2,Own or owner-like possession of house and lot,"Water-sealed, sewer septic tank, used exclusively by household",1,"Shared, faucet, community water system",1,0,0,0,0,0,0,0,0,0,0,0,0,IVB - MIMAROPA
370195,IVB - MIMAROPA,126817,Other sources of Income,0,36865,26400,27250,13970,6539,5540,270,0,0,4090,63888,30000,12614,20784,3384,0,17316,13000,0,0,Male,63,Married,High School Graduate,With Job/Business,Hog raising farmers,Self-employed wihout any employee,Single Family,5,1,0,0,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,19,20,3,Own or owner-like possession of house and lot,"Water-sealed, sewer septic tank, used exclusively by household",1,"Own use, tubed/piped deep well",2,1,1,1,1,0,0,0,3,0,1,0,1,IVB - MIMAROPA
89843,IVB - MIMAROPA,73988,Wage/Salaries,1,24788,17416,1380,27519,716,2455,3525,9686,14118,1870,17604,7200,578,2754,0,2251,4068,2262,0,0,Male,37,Married,High School Graduate,With Job/Business,Fishery laborers and helpers,Worked for private establishment,Single Family,5,2,1,1,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Light,20,7,2,Own or owner-like possession of house and lot,,1,"Shared, tubed/piped deep well",1,0,0,0,0,0,0,0,0,0,0,0,0,IVB - MIMAROPA
139804,IVB - MIMAROPA,97228,Wage/Salaries,1,29832,23711,5110,23772,2811,8925,12710,910,0,2645,13818,6000,7540,5580,1896,8790,7602,2200,0,0,Male,42,Married,Second Year High School,With Job/Business,Fishery laborers and helpers,Worked for private establishment,Single Family,7,1,3,1,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Light,17,18,1,Own or owner-like possession of house and lot,"Water-sealed, sewer septic tank, used exclusively by household",1,"Shared, tubed/piped deep well",1,1,0,0,0,0,0,0,2,0,0,0,0,IVB - MIMAROPA
236478,IVB - MIMAROPA,86708,Other sources of Income,0,27526,19176,18930,11555,2305,4830,10712,0,0,2826,31398,15000,230,9282,570,26961,8268,5000,30950,32890,Female,62,Widowed,First Year High School,With Job/Business,Rice farmers,Self-employed wihout any employee,Extended Family,5,0,2,0,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,25,21,2,Own or owner-like possession of house and lot,"Water-sealed, sewer septic tank, used exclusively by household",1,"Protected spring, river, stream, etc",1,0,1,1,0,0,0,0,2,0,1,0,0,IVB - MIMAROPA
84548,IVB - MIMAROPA,53295,Other sources of Income,0,13123,8783,5230,15288,1465,4331,3772,3620,0,1755,16182,12000,30,1278,60,1630,2568,800,18125,24335,Male,51,Married,High School Graduate,With Job/Business,Rice farmers,Self-employed wihout any employee,Single Family,3,0,1,0,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,32,3,2,Own or owner-like possession of house and lot,"Water-sealed, sewer septic tank, used exclusively by household",1,"Own use, faucet, community water system",1,0,0,0,0,0,0,0,1,0,0,0,0,IVB - MIMAROPA
58633,IVB - MIMAROPA,29171,Wage/Salaries,1,9608,8580,1780,7199,610,4389,0,6975,2534,1465,8322,4800,0,720,0,0,924,500,7015,13840,Male,66,Married,Grade 2,With Job/Business,Farmhands and laborers,Worked for private establishment,Single Family,2,0,0,1,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,21,1,2,Own or owner-like possession of house and lot,"Water-sealed, sewer septic tank, used exclusively by household",1,"Shared, faucet, community water system",0,0,0,0,0,0,0,0,0,0,0,0,0,IVB - MIMAROPA
84032,IVB - MIMAROPA,48591,Enterpreneurial Activities,1,17536,15676,2045,15189,1522,2690,3124,7240,4206,950,10896,6000,30,960,102,385,2808,200,40557,43327,Male,35,Married,Elementary Graduate,With Job/Business,Rice farmers,Self-employed wihout any employee,Single Family,5,1,2,1,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,20,2,0,Own or owner-like possession of house and lot,"Water-sealed, sewer septic tank, used exclusively by household",1,"Own use, faucet, community water system",1,0,0,0,0,0,0,0,1,0,0,0,0,IVB - MIMAROPA
127865,IVB - MIMAROPA,64508,Other sources of Income,0,22953,17550,9560,10678,690,2580,9538,0,0,5150,20490,15000,170,4680,600,4255,7002,8500,11250,13760,Female,45,Married,Grade 4,With Job/Business,Coconut farmers,Self-employed wihout any employee,Single Family,5,0,4,0,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,35,11,1,Own or owner-like possession of house and lot,"Water-sealed, sewer septic tank, used exclusively by household",1,"Shared, faucet, community water system",1,1,0,0,0,0,0,0,1,0,0,0,0,IVB - MIMAROPA
76711,IVB - MIMAROPA,43816,Wage/Salaries,1,19038,16496,1500,12047,912,2550,2336,3620,0,1025,13482,10200,144,840,324,735,2916,1400,17872,19072,Male,41,Married,Grade 3,With Job/Business,Farmhands and laborers,Worked for private establishment,Single Family,5,1,2,1,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,36,22,1,Own or owner-like possession of house and lot,"Water-sealed, sewer septic tank, used exclusively by household",1,"Shared, faucet, community water system",1,1,1,0,0,0,0,0,1,0,0,0,0,IVB - MIMAROPA
103244,IVB - MIMAROPA,55619,Other sources of Income,0,21012,16900,5320,12274,1855,2540,6846,4525,0,1020,13350,4800,3018,3642,648,830,3198,730,15945,16435,Female,39,Married,Grade 5,With Job/Business,Hog raising farmers,Self-employed wihout any employee,Single Family,3,0,2,0,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,36,35,0,Rent-free house and lot with consent of owner,"Water-sealed, sewer septic tank, used exclusively by household",1,"Own use, faucet, community water system",1,1,0,0,0,0,0,0,1,0,0,0,0,IVB - MIMAROPA
79739,IVB - MIMAROPA,52250,Other sources of Income,0,16971,14131,6660,14341,1095,2470,5410,4525,0,1180,8268,4200,310,2280,30,1068,3294,1015,2625,5375,Female,75,Widowed,High School Graduate,With Job/Business,Hog raising farmers,Self-employed wihout any employee,Single Family,4,0,2,0,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,30,45,2,Own or owner-like possession of house and lot,"Water-sealed, sewer septic tank, used exclusively by household",1,"Shared, faucet, community water system",0,0,0,0,0,0,0,0,1,0,0,0,0,IVB - MIMAROPA
92860,IVB - MIMAROPA,45834,Wage/Salaries,1,22376,18070,2114,6792,787,3670,2590,280,0,1400,11478,6000,54,1182,0,2277,3438,520,3010,6150,Male,55,Married,Elementary Graduate,With Job/Business,Farmhands and laborers,Worked for private establishment,Single Family,5,0,2,1,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,25,15,1,Own or owner-like possession of house and lot,"Water-sealed, sewer septic tank, used exclusively by household",1,"Shared, faucet, community water system",1,1,0,0,0,0,0,0,0,0,0,0,0,IVB - MIMAROPA
83298,IVB - MIMAROPA,38983,Wage/Salaries,1,16790,13605,1928,6317,1095,4670,1886,0,0,1855,6468,2400,90,1620,0,510,2280,330,14915,21395,Male,49,Married,Elementary Graduate,With Job/Business,Farmhands and laborers,Worked for private establishment,Single Family,5,0,3,1,Single house,"Light material (cogon,nipa,anahaw)",Light,13,6,1,Own or owner-like possession of house and lot,Closed pit,0,"Unprotected spring, river, stream, etc",0,0,0,0,0,0,0,0,0,0,0,0,0,IVB - MIMAROPA
